Nama|Pedagang|Waktu Dagang|Yang Dijual
Kedai Pasrah|Maryanti|08.00 - 16.00|Beragam Jus
Bowlah|Indah|08.00 - 16.00|Rice bowl
You & Milk|Alek|09.00 - 16.00|Susu
Ayam Takol|Ardi|07.00 - 15.00|Ayam Takol
Lontong Kari|Anip|05.00 - 13.00|Lontong Kari
Cimol Cakwe|Irwan|07.00 - 15.00|Cimol & Cakwe
Buku-buku|Wadino|07.00 - 15.30|Beragam Buku
Aneka Minuman|Jufri|08.00 -16.00|Beragam Minuman & Rokok
Bubur|Haji Ika|06.00 - 12.00|Bubur
Ayam Nusantara|Tuti|09.00 - 17.00|Beragam ayam dan telur & Beragam teh dan Minuman Manis
Juice Mamah Bobby|Mamah Bobby|08.00 - 16.00|Beragam Jus dan Kopi Teh Susu 
Jasuke|Dudung|07.00 - 17.00|Jasuke
Nasi Goreng Ganesha|Adah Saadah|08.00 - 17.00|Beragam Nasi Goreng 
Nasi Ayam Goreng|Ade Laksana|06.00 - 17.00|Beragam Ayam dan Mie 
Mie Ayam Rebus|Ada|09.00 - 13.00|Mie Ayam dan Bakso
Kedi Koboi|Pak Miswa|10.00 - 13.00|Beragam Paket Nasi dan Mie & Beragam teh dan Minuman Manis 
Nasi Uduk Bu Ai|Bu Ai|05.15 - 12.00|Nasi Uduk
Bubur dan Lontong Kari|Pak Wakih|05.00 - 10.00|Bubur dan Lontong Kari
Warung Nasi Sunda Sindang Rasa|Bu Aan|08.00 - 18.00|Beragam Paket Nasi Ayam dan Ikan & Beragam Kopi Teh Susu 
Pondok Salju|Pak Herman|07.00 - habis|Sop buah dan Beragam Jus dan Kopi Teh Susu 
Uda Uni|Ibu Nisnida|09.00 - 21.00|Beragam Paket Nasi Ayam dan Sup 
Otak otak Tahu Crispy|Pak Rohmat|07.30 - 16.30|Otak-otak & Tahu Crispy
Kedai Banyumas 87|Pak Pujianto|24 Jam|Beragam Nasi Goreng dan Mie Goreng & Beragam teh dan Minuman Manis 
Warung Mak Zeprot|Yanti|07.30 - 16.00|Dimsum & Kue Balok
Nasi Jepang Pak Mali|Rina|08.00 - 16.00|Beragam Paket Nasi Crispy 
Mie Yamin|Maun|08.00 - 16.00|Mie Yamin dan Bakmie Ayam
Go Milk|Ria|08.00 - 16.00|Beragam Minuman Susu 
RM Padang Pak Datuak|Pak Andrianto|07.00 - 22.00|Beragam Masakan Padang
Ayam Bebek Spesial|Bu Titin|08.00 - 23.00|Beragam Paket Nasi Ayam dan Bebek & Beragam teh dan Minuman Manis 
Warung Zayyidan|Pak Ari|08.00 - 21.00|Beragam Nasi goreng dan Capcay
Black Romantic|Pak Deris|09.00 - 22.00|Beragam Paket Nasi Ayam dan Beragam teh dan Minuman Manis 
Warung Ica|Bu Ela|07.30 - 19.00|Beragam Nasi goreng dan Paket Nasi Ayam &  Beragam teh dan Minuman Manis 
Warung Triya|Bapak Sriyoto|08.30 - 19.00|Beragam Paket Nasi Sapi dan Ayam & Beragam teh dan Minuman Manis 
Cafe Babeh|Ibu Lis|06.00 - 21.00|Beragam Nasi Goreng & Beragam teh dan Kopi Teh Susu 
Warung Bapak Apang|Bapak Apang|08.00 - 20.00|Beragam Cemilan ringan & Minuman Kemasan
Depot Aqua Zamzam|Pak Asep|06.00 - 16.00|Beragam Air Minum 
Kedai 2R|Ibu Lis|09.00 - 21.00|Beragam Paket Nasi Ayam dan Beragam teh dan Minuman Manis 
Soto Betawi|Pak Tasimun|08.00 - 16.00|Beragam Paket Nasi Betawi dan Beragam teh dan Minuman Manis 
Bakmi Ganyang|Bu Irna|10.00 - 20.00|Beragam Bakmie
